S.No.,Title,Type,Language(s),accepted,partially-accepted
2385,amount of time for binary tree to be infected,general,cpp,2,0
2389,longest subsequence with limited sum,general,cpp,3,0
2390,removing stars from a string,general,cpp,2,0
2391,minimum amount of time to collect garbage,general,cpp,1,0
2392,build a matrix with conditions,general,cpp,2,0
2395,find subarrays with equal sum,general,cpp,1,0
2396,strictly palindromic number,general,cpp,1,0
2399,check distances between same letters,general,cpp,2,0
2404,most frequent even element,general,cpp,2,0
2405,optimal partition of string,general,cpp,2,0
2406,divide intervals into minimum number of groups,general,cpp,1,0
2407,longest increasing subsequence II,general,cpp,0,2
2409,count days spent together,general,cpp,1,0
2410,maximum matching of players with trainers,general,cpp,1,0
2413,smallest even multiple,general,cpp,1,0
2415,reverse odd levels of binary tree,general,cpp,1,0
2416,sum of prefix scores of strings,general,cpp,1,2
2418,sort the people,general,cpp,2,0
2419,longest subarray with maximum bitwise AND,general,cpp,1,1
2420,find all good indices,general,cpp,1,1
2423,remove letter to equalize frequency,general,cpp,2,0
2424,longest uploaded prefix,general,cpp,1,0
2426,number of pairs satisfying inequality,general,cpp,0,1
2427,number of common factors,general,cpp,2,0
2428,maximum sum of an hourglass,general,cpp,1,0
2432,the employee that worked on the longest task,general,cpp,1,0
2439,minimize maximum of array,general,cpp,1,0
2441,largest positive integer that exists with its negative,general,cpp,3,0
2442,count number of distinct integers after reverse operations,general,cpp,1,0
2444,count subarrays with fixed bounds,general,cpp,1,1
2446,determine if two events have conflict,general,cpp,2,0
2448,minimum cost to make array equal,general,cpp,1,2
2455,average value of even numbers that are divisible by three,general,cpp,1,0
2456,most popular video creator,general,cpp,2,0
2458,height of binary tree after subtree removal queries,general,cpp,1,1
2460,apply operations to an array,general,cpp,2,0
2465,number of distinct averages,general,cpp,2,0
2466,count ways to build good strings,general,cpp,2,1
2469,convert the temperature,general,cpp,1,0
2471,minimum number of operations to sort a binary tree by level,general,cpp,1,1
2475,number of unequal triplets in array,general,cpp,2,0
2476,closest nodes queries in a binary search tree,general,cpp,1,1
2481,minimum cuts to divide a circle,general,cpp,1,0
2482,difference between ones and zeros in row and column,general,cpp,1,1
2483,minimum penalty for a shop,general,cpp,2,1
2485,find the pivot integer,general,cpp,1,0
2486,append characters to string to make subsequence,general,cpp,1,0
2487,remove nodes from linked list,general,cpp,2,0
2490,circular sentence,general,cpp+js,1+2,0+0
2491,divide players into teams of equal skill,general,cpp,2,0
2492,minimum score of a path between two cities,general,cpp,2,0
2496,maximum value of a string in an array,general,cpp,1,0
2497,maximum star sum of a graph,general,cpp,2,0
2500,delete greatest value in each row,general,cpp,1,0
2501,longest square streak in an array,general,cpp,1,0
2502,design memory allocator,general,cpp,1,0
2506,count pair of similar strings,general,cpp,2,0
2515,shortest distance to target string in a circular array,general,cpp,2,0
2520,count the digits that divide a number,general,cpp,1,0
2521,distinct prime factors of product of array,general,cpp,1,0
2523,closest prime numbers in range,general,cpp,1,0
2525,categorize box according to criteria,general,cpp,1,0
2526,find consecutive integers from a data stream,general,cpp,1,0
2529,maximum count of positive integer and negative integer,general,cpp,1,0
2530,maximal score after applying K operations,general,cpp,1,0
2535,difference between element sum and digit sum of an array,general,cpp,2,0
2536,increment submatrices by one,general,cpp,1,0
2540,minimum common value,general,cpp,3,0
2544,alternating digit sum,general,cpp,1,0
2545,sort the students by their Kth score,general,cpp,2,0
2552,count increasing quadruplets,general,cpp,0,1
2553,seperate the digits in an array,general,cpp,2,0
2554,maximum number of integers to choose from a range I,general,cpp,1,0
2558,take gifts from the richest pile,general,cpp,1,0
2559,count vowel strings in ranges,general,cpp,1,1
2562,find the array concatenation value,general,cpp,1,0
2563,count the number of fair pairs,general,cpp,0,1
2564,substring XOR queries,general,cpp,1,1
2566,maximum difference by remapping a digit,general,cpp,1,0
2570,merge two 2d arrays by summing values,general,cpp,1,0
2574,left and right sum differences,general,cpp,1,0
2578,split with minimum sum,general,cpp,2,0
2579,count total number of colored cells,general,cpp,2,0
2582,pass the pillow,general,cpp,2,0
2583,kth largest sum in a binary tree,general,cpp,2,0
2586,count the number of vowel strings in range,general,cpp,1,0
2593,find score of an array after marking all elements,general,cpp,2,0
2595,number of even and odd bits,general,cpp,2,0
2597,the number of beautiful subsets,general,cpp,1,0
2600,k items with the maximum sum,general,cpp,2,0
2605,form smallest number from two digit arrays,general,cpp,1,0
2609,find the longest balanced substring of a binary string,general,cpp,1,0
2610,convert an array into a 2D array with conditions,general,cpp,2,0
2611,mice and cheese,general,cpp,2,0
2614,prime in diagonal,general,cpp,1,0
2618,check if object instance of class,javascript/typescript,js,2,0
2619,array prototype last,javascript/typescript,js,1,0
2620,counter,javascript/typescript,js,1,0
2621,sleep,javascript/typescript,js,1,0
2622,cache with time limit,javascript/typescript,js,2,0
2623,memoize,javascript/typescript,js,1,0
2624,snail traversal,javascript/typescript,js,1,0
2625,flatten deeply nested array,javascript/typescript,js,1,0
2626,array reduce transformation,javascript/typescript,js,1,0
2627,debounce,javascript/typescript,js,1,0
2629,function composition,javascript/typescript,js,1,0
2631,group by,javascript/typescript,js,1,0
2632,curry,general,js,2,0
2634,filter elements from array,javascript/typescript,js,2,0
2635,apply transform over each element in array,javascript/typescript,js,2,0
2637,promise time limit,javascript/typescript,js,1,0
2639,find the width of columns of a grid,general,cpp,2,0
2640,find the score of all prefixes of an array,general,cpp,1,0
2641,cousins in a binary tree II,general,cpp,1,0
2642,design graph with shortest path calculator,general,cpp,3,0
2643,row with maximum ones,general,cpp,1,0
2644,find the maximum divisibility score,general,cpp,1,0
2648,generate fibonacci sequence,javascript/typescript,js,2,0
2649,nested array generator,javascript/typescript,js,2,0
2651,calculate delayed arrival time,general,cpp+js,1+1,0+0
2652,sum multiples,general,cpp,2,0
2656,max sum with exactly k elements,general,cpp,1,0
2657,find the prefix common array of two arrays,general,cpp,1,0
2658,maximum number of fish in a grid,general,cpp,2,0
2661,first completely painted row or column,general,cpp,1,0
2665,counter II,javascript/typescript,js,1,0
2666,allow one function call,javascript/typescript,js,2,0
2667,create hello world function,javascript/typescript,js,1,0
2670,find the distinct difference array,general,cpp,2,0
2671,frequency tracker,general,cpp,1,0
2672,number of adjacent elements with the same color,general,cpp,1,1
2677,chunk array,javascript/typescript,js,2,0
2678,number of senior citizens,general,cpp,2,0
2679,sum in a matrix,general,cpp,1,0
2684,maximum number of moves in a grid,general,cpp,4,1
2685,count the number of complete components,general,cpp,2,0
2693,call function with custom context,javascript/typescript,js,4,0
2694,event emitter,javascript/typescript,js,1,0
2695,array wrapper,javascript/typescript,js,2,0
2696,minimum string length after removing substrings,general,cpp+js,3+1,0+0
2697,lexicographically smallest palindrome,general,cpp,2,0
2699,modify graph edge weights,general,cpp,1,0
2703,return length of arguments passed,javascript/typescript,js,1,0
2704,to be or not to be,javascript/typescript,js,1,0
2705,compact object,javascript/typescript,js,1,0
2706,buy two chocolates,general,cpp,1,0
2707,extra characters in string,general,cpp,1,1
2709,greatest common divisor traversal,general,cpp,0,1
2710,remove trailing zeros from a string,general,cpp,1,0
2711,difference of number of distinct values on diagonals,general,cpp,1,0
2715,execute cancellable function with delay,javascript/typescript,js,1,0
2716,minimize string length,general,cpp,1,0
2718,sum of matrix after queries,general,cpp,1,1
2721,execute asynchronous functions in parallel,javascript/typescript,js,4,0
2722,join two arrays by id,javascript/typescript,js,1,0
2723,add two promises,javascript/typescript,js,2,0
2724,sort by,javascript/typescript,js,1,0
2725,interval cancellation,javascript/typescript,js,1,0
2726,calculator with method chaining,javascript/typescript,js,1,0
2727,is object empty,javascript/typescript,js,3,0
2729,check if the number is fascinating,general,cpp,2,0
2733,neither minimum nor maximum,general,cpp,2,0
2736,maximum sum queries,general,cpp,0,1
2739,total distance travelled,general,cpp,2,0
2740,find the value of the partition,general,cpp,1,0
2744,find maximum number of string pairs,general,cpp,3,0
2747,count zero request servers,general,cpp,0,2
2748,number of beautiful pairs,general,cpp,2,0
2751,robot collisions,general,cpp,1,0
2761,prime pairs with target sum,general,cpp,1,0
2762,continous subarrays,general,cpp,1,1
2765,longest alternating subarray,general,cpp,1,0
2769,find the maximum achievable number,general,cpp,1,0
2778,sum of squares of special elements,general,cpp,1,0
2779,maximum beauty of an array after applying operation,general,cpp,2,0
2780,minimum index of a valid split,general,cpp,2,1
2784,check if array is good,general,cpp,2,0
2785,sort vowels in a string,general,cpp,2,0
2788,split strings by seperator,general,cpp,1,0
2791,find polygon with the largest perimeter,general,cpp,1,0
2798,number of employees who met the target,general,cpp,1,0
2799,count complete subarrays in an array,general,cpp,2,0
2806,account balance after rounded purchase,general,cpp,1,0
2807,insert greatest common divisors in linked list,general,cpp,1,0
2810,faulty keyboard,general,cpp,1,0
2812,find the safest path in a grid,general,cpp,1,2
2815,max pair sum in an array,general,cpp,1,0
2816,double a number represented as a linked list,general,cpp,2,0
2817,minimum absolute difference between elements with constraint,general,cpp,1,2
2824,count pairs whose sum is less than target,general,cpp,1,0
2825,make string a subsequence using cyclic increments,general,cpp,1,0
2828,check if a string is an acronym of words,general,cpp,1,0
2833,furthest point from origin,general,cpp,1,0
2840,check if strings can be made equal with operations II,general,cpp,2,0
2843,count symmetric integers,general,cpp,1,0
2848,points that intersect with cars,general,cpp,3,0
2855,minimum right shifts to sort the array,general,cpp,1,0
2857,count pairs of points with distance K,general,cpp,0,1
2858,minimum edge reversals so every node is reachable,general,cpp,0,1
2859,sum of values at indices with k set bits,general,cpp,2,0
2864,maximum odd binary number,general,cpp,1,0
2867,count valid paths in a tree,general,cpp,1,1
2869,minimum operations to collect elements,general,cpp,1,0
2870,minimum number of operations to make array empty,general,cpp,1,0
2873,maximum value of an ordered triplet I,general,cpp,1,0
2874,maximum value of an ordered triplet II,general,cpp,1,2
2876,count visited nodes in a directed graph,general,cpp,0,1
2894,divisible and non divisible sums difference,general,cpp,1,0
2895,minimum processing time,general,cpp,1,0
2903,find indices with index and value difference I,general,cpp,1,0
2905,find indices with index and value difference II,general,cpp,1,1
2908,minimum sum of mountain triplets I,general,cpp,1,0
2909,minimum sum of mountain triplets II,general,cpp,2,2
2913,subarrays distinct element sum of squares I,general,cpp,1,0
2914,minimum number of changes to make binary string beautiful,general,cpp+js,1+1,0+0
2917,find the k or of an array,general,cpp,1,0
2918,minimum equal sum of two arrays after replacing zeros,general,cpp,1,0
2923,find champion I,general,cpp,2,0
2924,find champion II,general,cpp,1,0
2928,distribute candies among children I,general,cpp,2,0
2932,maximum strong pair xor I,general,cpp,1,0
2933,high access employees,general,cpp,1,0
2935,maximum strong pair XOR II,general,cpp,0,1
2937,make three strings equal,general,cpp,1,0
2938,separate black and white balls,general,cpp,1,0
2942,find words containing character,general,cpp,1,0
2946,matrix similarity after cyclic shifts,general,cpp,1,0
2947,count beautiful substrings I,general,cpp,1,0
2951,find the peaks,general,cpp,1,0
2952,minimum number of coins to be added,general,cpp,1,0
2956,find common elements between two arrays,general,cpp,3,0
2958,length of longest subarray with at most k frequency,general,cpp,1,1
2960,count tested devices after test operations,general,cpp,1,0
2962,count subarrays where max element appears at least k times,general,cpp,2,1
2965,find missing and repeated values,general,cpp,3,0
2966,divide array into arrays with max difference,general,cpp,3,0
2974,minimum number game,general,cpp,1,0
2976,minimum cost to convert string I,general,cpp,1,0
2980,check if bitwise or has trailing zeros,general,cpp,1,0
2981,find longest special substring that occurs thrice I,general,cpp,1,0
2997,minimum number of operations to make array xor equal to k,general,cpp,1,0
3000,maximum area of longest diagonal rectangle,general,cpp,1,0
3002,maximum size of a set after removals,general,cpp,1,0
3005,count elements with maximum frequency,general,cpp,1,0
3010,divide an array into subarrays with minimum cost I,general,cpp,1,0
3011,find if array can be sorted,general,cpp,2,0
3014,minimum number of pushes to type word I,general,cpp,1,0
3016,minimum number of pushes to type word II,general,cpp,2,0
3019,number of changing keys,general,cpp,2,0
3024,type of triangle II,general,cpp,1,0
3026,maximum good subarray sum,general,cpp,1,1
3028,ant on the boundary,general,cpp,1,0
3033,modify the matrix,general,cpp,1,0
3034,number of subarrays that match a pattern I,general,cpp,1,0
3038,maximum number of operations with the same score I,general,cpp,1,0
3039,apply operations to make string empty,general,cpp,1,0
3042,count prefix and suffix pairs I,general,cpp+js,2+2,0+0
3043,find the length of the longest common prefix,general,cpp,1,1
3045,count prefix and suffix pairs II,general,cpp,0,1
3046,split the array,general,cpp,1,0
3065,minimum operations to exceed threshold value I,general,cpp,1,0
3068,find the maximum sum of node values,general,cpp,1,0
3069,distribute elements into two arrays I,general,cpp,1,0
3070,count submatrices with top left element and sum less than k,general,cpp,1,1
3074,apple redistribution into boxes,general,cpp,1,0
3075,maximize happiness of selected children,general,cpp,1,0
3076,shortest uncommon substring in an array,general,cpp,2,0
3079,find the sum of encrypted integers,general,cpp,2,0
3080,mark elements on array by performing queries,general,cpp,1,0
3083,existence of a substring in a string and its reverse,general,cpp,2,0
3084,count substrings starting and ending with given character,general,cpp,1,1
3090,maximum length substring with two occurrences,general,cpp,2,0
3092,most frequent IDs,general,cpp,1,0
3093,longest common suffix queries,general,cpp,0,1
3095,shortest subarray with OR at least k I,general,cpp,1,0
3097,shortest subarray with OR at least k II,general,cpp,0,1
3099,harshad number,general,cpp,1,0
3101,count alternating subarrays,general,cpp,1,1
3102,minimize manhattan distances,general,cpp,0,1
3105,longest strictly increasing or strictly decreasing subarray,general,cpp,2,0
3107,minimum operations to make median of array equal to K,general,cpp,1,0
3110,score of a string,general,cpp,1,0
3111,minimum rectangles to cover points,general,cpp,1,0
3113,find the number of subarrays where boundary elements are maximum,general,cpp,0,1
3114,latest time you can obtain after replacing characters,general,cpp,1,0
3115,maximum prime difference,general,cpp,2,0
3120,count the number of special characters I,general,cpp,1,0
3121,count the number of special characters II,general,cpp,1,0
3123,find edges in shortest paths,general,cpp,1,0
3127,make a square with the same color,general,cpp,1,0
3128,right triangles,general,cpp,1,1
3131,find the integer added to array I,general,cpp,1,0
3134,find the median of the uniqueness array,general,cpp,0,2
3136,valid word,general,cpp,1,0
3137,minimum number of operations to make word K periodic,general,cpp,1,0
3138,minimum length of anagram concatenation,general,cpp,1,0
3142,check if grid satisfies conditions,general,cpp,1,0
3146,permutation difference between two strings,general,cpp,1,0
3151,special array I,general,cpp,1,0
3152,special array II,general,cpp,1,2
3153,sum of digit differences of all pairs,general,cpp,1,1
3158,find the XOR of numbers which appear twice,general,cpp,2,0
3159,find occurrences of an element in an array,general,cpp,1,0
3160,find the number of distinct colors among the balls,general,cpp,1,0
3162,find the number of good pairs I,general,cpp,1,0
3163,string compression III,general,cpp,2,0
3164,find the number of good pairs II,general,cpp,1,2
3168,minimum number of chairs in a waiting room,general,cpp,1,0
3169,count days without meetings,general,cpp,1,1
3171,find subarray with bitwise AND closest to K,general,cpp,0,1
3174,clear digits,general,cpp,1,0
3176,find the maximum length of a good subsequence I,general,cpp,1,1
3177,find the maximum length of a good subsequence II,general,cpp,0,1
3178,find the child who has the ball after K seconds,general,cpp,2,0
3179,find the Nth value after K seconds,general,cpp,1,0
3184,count pairs that form a complete day I,general,cpp,1,2
3185,count pairs that form a complete day II,general,cpp,1,1
3187,peaks in array,general,cpp,0,1
3190,find minimum operations to make all elements divisible by three,general,cpp,1,0
3191,minimum operations to make binary array elements equal to one I,general,cpp,1,0
3192,minimum operations to make binary array elements equal to one II,general,cpp,1,0
3194,minimum average of smallest and largest elements,general,cpp,1,0
3195,find the minimum area to cover all ones I,general,cpp,1,0
3200,maximum height of a triangle,general,cpp,1,0
3201,find the maximum length of valid subsequence I,general,cpp,1,0
3203,find minimum diameter after merging two trees,general,cpp,1,0
3206,alternating groups I,general,cpp,1,0
3208,alternating groups II,general,cpp,0,1
3209,number of subarrays with AND value of K,general,cpp,0,1
3210,find the encrypted string,general,cpp,1,0
3211,generate binary strings without adjacent zeros,general,cpp,1,0
3212,count submatrices with equal frequency of X and Y,general,cpp,2,1
3216,lexicographically smallest string after a swap,general,cpp,1,0
3217,delete nodes from linked list present in array,general,cpp,1,0
3220,odd and even transactions,database,mysql,1,0
3222,find the winning player in coin game,general,cpp,1,0
3223,minimum length of string after operations,general,cpp,1,0
3226,number of bit changes to make two integers equal,general,cpp,2,0
3227,vowels game in a string,general,cpp,1,0
3228,maximum number of operations to move ones to the end,general,cpp,1,0
3232,find if digit game can be won,general,cpp,1,0
3233,find the count of numbers which are not special,general,cpp,1,1
3234,count the number of substrings with dominant ones,general,cpp,0,1
3238,find the number of winning players,general,cpp,1,0
3239,minimum number of flips to make binary grid palindromic I,general,cpp,1,0
3241,time taken to mark all nodes,general,cpp,0,1
3242,design neighbor sum service,general,cpp,1,0
3243,shortest distance after road addition queries I,general,cpp,1,0
3244,shortest distance after road addition queries II,general,cpp,0,1
3248,snake in matrix,general,cpp,1,0
3249,count the number of good nodes,general,cpp,1,0
3254,find the power of K size subarrays I,general,cpp,1,0
3255,find the power of K size subarrays II,general,cpp,0,1
3258,count substrings that satisfy K constraint I,general,cpp,1,0
3259,maximum energy boost from two drinks,general,cpp,3,1
3261,count substrings that satisfy K constraint II,general,cpp,0,1
3264,final array state after K multiplication operations I,general,cpp,2,0
3265,count almost equal pairs I,general,cpp,1,0
3266,final array state after K multiplication operations II,general,cpp,0,2
3270,find the key of the numbers,general,cpp,2,0
3271,hash divided string,general,cpp,1,0
3274,check if two chessboard squares have the same color,general,cpp,1,0
3275,Kth nearest obstacle queries,general,cpp,1,0
3280,convert date to binary,general,cpp+js,1+1,0+0
3282,reach end of array with max score,general,cpp,0,2
3285,find indices of stable mountains,general,cpp,1,0
3286,find a safe walk through a grid,general,cpp,1,1
3289,the two sneaky numbers of digitville,general,cpp,2,0
3290,maximum multiplication score,general,cpp,2,3
3295,report spam message,general,cpp,1,0
3297,count substrings that can be rearranged to contain a string I,general,cpp,1,1
3298,count substrings that can be rearranged to contain a string II,general,cpp,1,1
3300,minimum element after replacement with digit sum,general,cpp,1,0
3301,maximize the total height of unique towers,general,cpp,1,0
3302,find the lexicographically smallest valid sequence,general,cpp,0,1
3303,find the occurrence of first almost equal substring,general,cpp,0,1
3304,find the Kth character in string game I,general,cpp,1,0
3305,count of substrings containing every vowel and K consonants I,general,cpp,1,0
3306,count of substrings containing every vowel and K consonants II,general,cpp,0,1
3307,find the Kth character in string game II,general,cpp,0,1
3309,maximum possible number by binary concatenation,general,cpp,1,0
3310,remove methods from project,general,cpp,1,0
3312,sorted GCD pair queries,general,cpp,0,1
3314,construct the minimum bitwise array I,general,cpp,1,0
3315,construct the minimum bitwise array II,general,cpp,0,1
3316,find maximum removals from source string,general,cpp,0,1
3318,find X sum of all K long subarrays I,general,cpp,1,0
3319,K th largest perfect subtree size in binary tree,general,cpp,1,0
3321,find X sum of all K long subarrays II,general,cpp,0,1
3324,find the sequence of strings appeared on the screen,general,cpp,1,0
3325,count substrings with K frequency characters I,general,cpp,2,0
3326,minimum division operations to make array non decreasing,general,cpp,1,0
3330,find the original typed string I,general,cpp,1,0
3331,find subtree sizes after changes,general,cpp,1,0
3332,maximum points tourist can earn,general,cpp,0,1
3334,find the maximum factor score of array,general,cpp,1,0
3335,total characters in string after transformations I,general,cpp,1,0
3340,check balanced string,general,cpp+js,1+1,0+0
3341,find minimum time to reach last room I,general,cpp,2,0
3342,find minimum time to reach last room II,general,cpp,1,1
3343,count number of balanced permutations,general,cpp,0,1
3345,smallest divisible digit product I,general,cpp,1,0
3349,adjacent increasing subarrays detection I,general,cpp,1,0
3354,make array elements equal to zero,general,cpp,2,0
3360,stone removal game,general,cpp,1,0
3361,shift distance between two strings,general,cpp,2,0
3364,minimum positive sum subarray,general,cpp,1,0
3365,rearrange K substrings to form target string,general,cpp,1,0
3370,smallest number with all set bits,general,cpp,2,0
3371,identify the largest outlier in an array,general,cpp,1,1
3372,maximize the number of target nodes after connecting trees I,general,cpp,2,0
3375,minimum operations to make array values equal to K,general,cpp,1,0
3379,transformed array,general,cpp,1,0
3380,maximum area rectangle with point constraints I,general,cpp,2,0
3382,maximum area rectangle with point constraints II,general,cpp,0,2
3386,button with longest push time,general,cpp,1,0
3392,count subarrays of length three with a condition,general,cpp,1,0
3393,count paths with the given XOR value,general,cpp,1,1
3396,minimum number of operations to make elements in array distinct,general,cpp,1,0
3402,minimum operations to make columns strictly increasing,general,cpp,1,0
3407,substring matching pattern,general,cpp,1,0
3408,design task manager,general,cpp,1,0
3411,maximum subarray with equal products,general,cpp,1,0
3412,find mirror score of a string,general,cpp,1,1
3417,zigzag grid traversal with skip,general,cpp,1,0
3418,maximum amount of money robot can earn,general,cpp,1,2
3419,minimize the maximum edge weight of graph,general,cpp,1,0
3423,maximum difference between adjacent elements in a circular array,general,cpp,1,0
3424,minimum cost to make arrays identical,general,cpp,1,0
3427,sum of variable length subarrays,general,cpp,2,0
3432,count partitions with even sum difference,general,cpp,3,0
3433,count mentions per user,general,cpp,1,0
3436,find valid emails,database,mysql,1,0
3438,find valid pair of adjacent digits in string,general,cpp,1,0
3442,maximum difference between even and odd frequency I,general,cpp,1,0
3446,sort matrix by diagonals,general,cpp,1,0
3452,sum of good numbers,general,cpp,1,0
3456,find special substring of length K,general,cpp,3,0
3457,eat pizzas,general,cpp,1,0
3461,check if digits are equal in string after operations I,general,cpp,1,0
3462,maximum sum with at most K elements,general,cpp,1,0
3465,find products with valid serial numbers,database,mysql,1,0
3467,transform array by parity,general,cpp,1,0
3471,find the largest almost missing integer,general,cpp,1,0
3475,DNA pattern recognition,database,mysql,1,0
3477,fruits into baskets II,general,cpp,1,0
3478,choose K elements with maximum sum,general,cpp,1,1
3479,fruits into baskets III,general,cpp,0,1
3483,unique 3 digit even numbers,general,cpp,1,0
3484,design spreadsheet,general,cpp,1,0
3487,maximum unique subarray sum after deletion,general,cpp,1,0
3488,closest equal element queries,general,cpp,1,1
3492,maximum containers on a ship,general,cpp+js,1+1,0+0
3493,properties graph,general,cpp,1,0
3497,analyze subscription conversion,database,mysql,1,0
3498,reverse degree of a string,general,cpp+js,1+1,0+0
3502,minimum cost to reach every position,general,cpp+js,1+1,0+0
3503,longest palindrome after substring concatenation I,general,cpp,1,0
3504,longest palindrome after substring concatenation II,general,cpp,0,1
3507,minimum pair removal to sort array I,general,cpp,1,0
3508,implement router,general,cpp,1,1
3510,minimum pair removal to sort array II,general,cpp,0,1
3512,minimum operations to make array sum divisible by K,general,cpp,1,0
3513,number of unique XOR triplets I,general,cpp,1,0
3514,number of unique XOR triplets II,general,cpp,0,1
3515,shortest path in a weighted tree,general,cpp,0,1
3516,find closest person,general,cpp,1,0
3517,smallest palindromic rearrangement I,general,cpp,2,0
3522,calculate score after performing instructions,general,cpp,1,0
3523,make array non decreasing,general,cpp,1,0
3527,find the most common response,general,cpp,1,0
3528,unit conversion I,general,cpp,1,0
3531,count covered buildings,general,cpp,1,1
3532,path existence queries in a graph I,general,cpp,1,1
3534,path existence queries in a graph II,general,cpp,0,1
3536,maximum product of two digits,general,cpp,2,0
3537,fill a special grid,general,cpp,1,0
3541,find most frequent vowel and consonant,general,cpp,1,0
3545,minimum deletions for at most K distinct characters,general,cpp,1,0
3546,equal sum grid partition I,general,cpp,1,0
3550,smallest index with digit sum equal to index,general,cpp+js,1+1,0+0
3556,sum of largest prime substrings,general,cpp,1,0
3560,find minimum log transportation cost,general,cpp,1,0
3561,resulting string after adjacent removals,general,cpp,1,0
3567,minimum absolute difference in sliding submatrix,general,cpp,1,0
3572,maximize Y-sum by picking a triplet of distinct X-values,general,cpp,1,0
3582,generate tag for video caption,general,cpp,1,0
3583,count special triplets,general,cpp,1,1
3588,find maximum area of a triangle,general,cpp,1,0
3589,count prime gap balanced subarrays,general,cpp,0,1
3591,check if any element has prime frequency,general,cpp,2,0
3597,partition string,general,cpp,1,0
3602,hexadecimal and hexatrigesimal conversion,general,cpp,1,0
3606,coupon code validator,general,cpp+js,2+1,0+0
3607,power grid maintenance,general,cpp,1,0
3608,minimum time for K connected components,general,cpp,1,0
3612,process string with special operations I,general,cpp,1,0
3613,minimize maximum component cost,general,cpp,1,0
3614,process string with special operations II,general,cpp,0,1
3618,split array by prime indices,general,cpp,1,0
3619,count islands with total value divisible by K,general,cpp,2,0
3622,check divisibility by digit sum and product,general,cpp,1,0
3623,count number of trapezoids I,general,cpp,1,1
3627,maximum median sum of subsequences of size 3,general,cpp+js,1+1,0+0
3633,earliest finish time for land and water rides I,general,cpp,1,0
3637,trionic array I,general,cpp,1,0
3643,flip square submatrix vertically,general,cpp,1,0
3653,XOR after range multiplication queries I,general,cpp,1,0
3658,GCD of odd and even sums,general,cpp,2,0
3663,find the least frequent digit,general,cpp,1,0
3665,twisted mirror path count,general,cpp,1,1
3668,restore finishing order,general,cpp,2,0
3674,minimum operations to equalize array,general,cpp,1,0
3675,minimum operations to transform string,general,cpp,1,0
3677,count binary palindromic numbers,general,cpp,0,1
3678,smallest absent positive greater than average,general,cpp,1,0
3683,earliest time to finish one task,general,cpp,1,0
3684,maximize sum of at most K distinct elements,general,cpp,1,0
3688,bitwise OR of even numbers in an array,general,cpp,1,0
3689,maximum total subarray value I,general,cpp,1,0
3692,majority frequency characters,general,cpp,1,0
3693,climbing stairs II,general,cpp,2,0
3694,distinct points reachable after substring removal,general,cpp,1,0
3697,compute decimal representation,general,cpp,1,0
3701,compute alternating sum,general,cpp,1,0
3702,longest subsequence with non zero bitwise XOR,general,cpp,1,0
3707,equal score substrings,general,cpp,1,0
3708,longest fibonacci subarray,general,cpp,1,0
3709,design exam scores tracker,general,cpp,1,0
3712,sum of elements with frequency divisible by K,general,cpp,1,0
3718,smallest missing multiple of K,general,cpp,1,0
3726,remove zeros in decimal representation,general,cpp,2,0
3727,maximum alternating sum of squares,general,cpp,1,0
3731,find missing elements,general,cpp,1,0
3732,maximum product of three elements after one replacement,general,cpp,3,0
3740,minimum distance between three equal elements I,general,cpp,2,0
3741,minimum distance between three equal elements II,general,cpp,1,0
3745,maximize expression of three elements,general,cpp,1,0
3746,minimum string length after balanced removals,general,cpp,1,0
3750,minimum number of flips to reverse binary string,general,cpp,2,0
3751,total waviness of numbers in range I,general,cpp,1,0
3753,total waviness of numbers in range II,general,cpp,0,1
3754,concatenate non zero digits and multiply by sum I,general,cpp,2,0
